"coverage_id","coverage_is_active","coverage_payment_is_current","coverage_agent","coverage_status","coverage_created_date","coverage_cancelled_date","coverage_annual_premium","coverage_deductible","coverage_estimated_car_value","coverage_lifetime","coverage_accident_probability","coverage_risk_score","product_id","car_id","customer_id","wdf__region_id"
e7a08fccef9192a140bb0e7d32053d62,Y,Y,Paul Cantin,CONFIRMED,2021-04-28,,1170.00,,,247.00,,65.00,ac74c8d0145c07b488c9d713f122b152,"5a38112331e9bb52e76166b706d81797",e7a08fccef9192a140bb0e7d32053d62,BE
e8ae4c3a79b24ba56ae0b6e73873b141,Y,Y,Maslin Couet,CONFIRMED,2021-11-01,,1190.00,,,60.00,,65.00,"2e0af2357d0f45257df24720321af971","0071719ef56ffa9afc05014e1f2a917b",e8ae4c3a79b24ba56ae0b6e73873b141,BE
"49899ac1f7ef73067e9f6ec643031a17",Y,N,Michele Panicucci,REJECTED,2021-01-17,,1290.00,300.00,,348.00,,65.00,b54a2af172c378bbbb4c223e6970df33,"59c44cf30aeeb878779086bec6ea0bd5","49899ac1f7ef73067e9f6ec643031a17",SG
"4d78fd26559437729d872f280d695436",Y,Y,Jay Dagenais,CONFIRMED,2021-12-26,,1430.00,150.00,,5.00,,65.00,"571a67c1bf5977b3bafd44e5e26f61e8","8f56d26afabd4079404f2cc3e6211480","4d78fd26559437729d872f280d695436",ZH
"131a3e9330dcb92f828accb485198fa5",Y,N,Christine Totter,CONFIRMED,2021-09-24,,1190.00,,,98.00,,65.00,"0e388c0e9954020acfc646ba6ab871f3","855552a4218c5879f043162d61c32d25","131a3e9330dcb92f828accb485198fa5",GE
ebe64accf138b2f7dc6a4ed4da2f129c,Y,Y,Hortense Archambault,REJECTED,2021-03-14,,1190.00,,,292.00,,65.00,"70de10d128c67576a6624d80d0ef7d58",b0f509e3da499cd72bedc51140b596aa,ebe64accf138b2f7dc6a4ed4da2f129c,TI
ebed05982fc0bb9bdd04055d34dca807,Y,Y,Dorothée Daigle,CONFIRMED,2021-10-31,,1190.00,,,61.00,,65.00,"2e0af2357d0f45257df24720321af971","0a274b2529db8e03cd5ea7541e1c29c6",ebed05982fc0bb9bdd04055d34dca807,BE
ec38c62876e62495a7df889301b33f9e,Y,Y,Hortense Archambault,CONFIRMED,2021-07-31,,1190.00,,,153.00,,65.00,"2e0af2357d0f45257df24720321af971",d54af56c928ac7363e5218190b85f42e,ec38c62876e62495a7df889301b33f9e,LU
ef6bbaaec790e4dbb1545f9e92f7355a,Y,N,Anke Fink,CONFIRMED,2021-12-05,,1190.00,,262.54,26.00,0.21,65.00,"2e0af2357d0f45257df24720321af971",cbf8f5593baa4d1fc41977e5d8147613,ef6bbaaec790e4dbb1545f9e92f7355a,LU
f10f4d24a94c6112cabe2e8bbcf528f5,Y,Y,Odo Adler,CONFIRMED,2021-11-19,,1430.00,150.00,1026.10,42.00,0.67,65.00,"67ab44583a0d64daaf2764970a33141c","80d619a6e804bab2f49ddfc964a24d8e",f10f4d24a94c6112cabe2e8bbcf528f5,VD
f19e9d0b749b4ae7ec58a7978ca34626,Y,N,Kateřina Dvořáčková,CONFIRMED,2021-03-25,,1160.00,,,281.00,,65.00,ffd553b97e978c87a950f5f27d3d8871,d099fa009997de4e3d0e90794a6ac49a,f19e9d0b749b4ae7ec58a7978ca34626,ZG
f1bdfbec0c6f6fbc92d1eeabbd490e45,Y,N,Eleanor Couture,CONFIRMED,2021-10-20,,1160.00,,,72.00,,65.00,ffd553b97e978c87a950f5f27d3d8871,"1401f064442d84a0ec2de57dd40877e0",f1bdfbec0c6f6fbc92d1eeabbd490e45,TI
f3184343ba5bd0511dc025b3f905221e,Y,N,Dorothée Daigle,CONFIRMED,2021-09-01,,1190.00,,,121.00,,65.00,"67613f22211b0a6866b60a345c4954fe","2f4005e0585fbcf70d833bc94837ba23",f3184343ba5bd0511dc025b3f905221e,SG
f3a1be4a891d89b360ca89de20b9353f,Y,Y,Jay Dagenais,CONFIRMED,2021-02-02,,1190.00,,,332.00,,65.00,"2e0af2357d0f45257df24720321af971",b647a989b42b0b09710b9e2c791ffdb1,f3a1be4a891d89b360ca89de20b9353f,ZH
f3e1a8a51761f3e614c2859686202fda,Y,N,Kateřina Dvořáčková,CONFIRMED,2021-09-25,,1300.00,150.00,,97.00,,65.00,"63b32b961c74ad1cd57d83fa61fadfe7","8da4dd590bda4d657805d42708c5a054",f3e1a8a51761f3e614c2859686202fda,ZH
f49390472a1d5b035f868f4d99b8c13a,Y,Y,Adrienne Barrière,CONFIRMED,2021-08-13,,1050.00,,,140.00,,65.00,be7050b2a5a7f9b14b3956aa49ff587d,a0dc18d5b9cf4fc2005d03500f1b5c61,f49390472a1d5b035f868f4d99b8c13a,ZH
f4f9948765486affdb137c286d97ba71,Y,N,Lotye Gaillard,CONFIRMED,2021-01-29,,1190.00,,,336.00,,65.00,"2e0af2357d0f45257df24720321af971",e6d8a3263c9799d26373c5faa90869c8,f4f9948765486affdb137c286d97ba71,ZH
