"customer_id","customer_age_group","customer_demographic_code","customer_gender","customer_name","region_id","customer_segment","wdf__region_id"
"7028f8648663832aa0caa3a649e8b010","45-59",F 45-59,Female,Anouk Fortin,ZH,Common Drivers,ZH
"10faa4ca771002c5228d5f7562546f5f","30-44",M 30-44,Male,Ranger Pitre,AG,Common Drivers,AG
"460c9369f3926e7ce3b41aa863c713b5","15-29",F 15-29,Female,Nicolette Fortin,SG,Common Drivers,SG
"460de985cb49534c96050f63c002892e","45-59",M 45-59,Male,Isidoro Schiavone,VD,Common Drivers,VD
"46279f2178847891736e27780bf35d4d","45-59",F 45-59,Female,Elena Andreyeva,ZH,Common Drivers,ZH
"46425c51f98e6471bfdd0490ca0c4407","15-29",M 15-29,Male,Severino Marchesi,NW,Common Drivers,NW
"4642d02e046c45c1ae7875644734c0f3","15-29",M 15-29,Male,Tabor Primeau,AG,Common Drivers,AG
"4644897debb3ad2ec3ad551e7a1522f8","45-59",M 45-59,Male,Édouard Gendron,GE,Common Drivers,GE
"464a1c3e665c16ef1a637fb63eb57141","45-59",F 45-59,Female,Élisabeth Bonami,ZH,Common Drivers,ZH
"46606d21b52bd47ee1f64fd19e319050","45-59",F 45-59,Female,Leone Bériault,BE,Common Drivers,BE
"46634c7f82d6d863169b7ba5375793c2","15-29",M 15-29,Male,Giraldo Pisano,TI,Common Drivers,TI
"4668d21c5f4bf77997f42af72d4bfa67","15-29",M 15-29,Male,Lucas Muench,BL,Common Drivers,BL
"4676e92c3cf8bb8d40825295af5fbebb","30-44",M 30-44,Male,Olivier Louineaux,GE,Common Drivers,GE
"467af727f74299cf034398dc6e444921","15-29",M 15-29,Male,André Jardine,TI,Common Drivers,TI
"4683f1c231e1d502021b53fad11d8264","45-59",M 45-59,Male,Gioacchino Palermo,TI,Common Drivers,TI
"468e491949d80a00daf1e79a3e2a1c44","15-29",M 15-29,Male,Michael Aachen,VD,Common Drivers,VD
"468f5ab00dcd43bdfbae131acf5ea361","45-59",M 45-59,Male,Alceo Rizzo,ZH,Common Drivers,ZH
"4697cd9fa00870ccd303ba5160282ec9","45-59",M 45-59,Male,Andreas Naumann,ZH,Common Drivers,ZH
"469b6c5d7f102db38a83f1779d38d38f","45-59",M 45-59,Male,Mercer Chartier,VD,Common Drivers,VD
"46a82eb7e326f1323c8731d02cf102df","45-59",F 45-59,Female,Clementine Asselin,AG,Common Drivers,AG
"46b57f69af3ed9916887c52c8fd103c5","15-29",M 15-29,Male,Daniel Koertig,VD,Common Drivers,VD
"46c4cf8077629df1a6ea2d05de2a6ef5","60+",M 60+,Male,Lyle Dupéré,OW,Common Drivers,OW
"46cc2e836ad1e9d90e853dc13facffb0","60+",M 60+,Male,Tom Freitag,ZH,Common Drivers,ZH
"470e86b8390ff1fae31ce05e2ee1fb29","30-44",M 30-44,Male,Tobias Daecher,AG,Common Drivers,AG
"4717b9bbdaa1288fa8c030e1e3e32a5d","60+",F 60+,Female,Maryla Adamska,ZH,Common Drivers,ZH
"472d12b53d3da50b13a25f732d1a8e26","45-59",F 45-59,Female,Kateřina Andrlová,BS,Common Drivers,BS
"472db88bbaec3083914920e460eb0eee","45-59",F 45-59,Female,Linda Conti,SH,Common Drivers,SH
"47375d6ef73121155a8d9a1d4d8d05cf","45-59",M 45-59,Male,Ermes Giordano,ZH,Common Drivers,ZH
"473a4b0377caf6296fc707848d8ea994","60+",M 60+,Male,Florus Chouinard,ZH,Common Drivers,ZH
"475d7e2c64d3b31954e659083841a142","45-59",M 45-59,Male,Marco Schweitzer,AG,Common Drivers,AG
"476e9feb1230a4cd4fd09f0cbae697b2","30-44",M 30-44,Male,Arnaldo Lo Duca,AG,Common Drivers,AG
"4770698130c17acf0ea8f81ce9954e9e","30-44",F 30-44,Female,Jennifer Freeh,LU,Common Drivers,LU
"4777d46297b1430f64442344fee44ac0","60+",F 60+,Female,Galatee Bordeleau,NW,Common Drivers,NW
"4783868a2d8ea262320597a4ea69a1fb","30-44",M 30-44,Male,Berislav Matković,LU,Common Drivers,LU
"478cc1fb8b4889352fc77fd0e4518f6f","30-44",F 30-44,Female,Arienne Desjardins,SG,Common Drivers,SG
"47a13fd949c44c31c85903c561e0db28","15-29",M 15-29,Male,Fulvio Conti,BL,Common Drivers,BL
"47a14bdd934dcb244c2d7ce57bbfe463","30-44",M 30-44,Male,Langley Covillon,TI,Common Drivers,TI
"47a432ffe93f5ac19c198bd34c252e33","45-59",F 45-59,Female,Lena Bosch,ZH,Common Drivers,ZH
"47be728aa29052ff5955af271d26b058","30-44",M 30-44,Male,Dominic D'Aubigné,VD,Common Drivers,VD
"47c3b2689a256ef0c88ae23e5b3300d0","15-29",M 15-29,Male,Peter Ritter,ZH,Common Drivers,ZH
"47ddb9d37f752ceb0894490ffa5295cb","15-29",F 15-29,Female,Fleur De La Vergne,NE,Common Drivers,NE
"47e986b9b53dbffdc14e3a9b05e0a6cf","60+",F 60+,Female,Julia Bieber,BE,Common Drivers,BE
"48062d5c7eeb8de9804890978e6cb82e","45-59",F 45-59,Female,Marina Ackerman,BL,Common Drivers,BL
"48082be6121c4923e73ab7bb2880067e","60+",F 60+,Female,Barbara Ferrari,AG,Common Drivers,AG
"481f51074b1e0e1c322ab4798db9cc3b","60+",F 60+,Female,Maria Teresa Castiglione,TI,Common Drivers,TI
"482a82f5b408c7ee8bb19683ca638f04","30-44",M 30-44,Male,Merlin Bourdette,NW,Common Drivers,NW
"4834a5234fce600df0fb47b98be4f560","30-44",M 30-44,Male,Tanguy Audibert,ZH,Common Drivers,ZH
"48372ec847e114ec70e2d9850db5612d","30-44",M 30-44,Male,Aloin Cyr,VD,Common Drivers,VD
"483961b875cf6a7e8c5e2440e0a313cc","45-59",F 45-59,Female,Ania Grabowska,TI,Common Drivers,TI
"483d2bee39f54fc33e7dea02ca9cf236","60+",F 60+,Female,Roux Beaupré,VD,Common Drivers,VD
"484530649a50b41942b9005630206bf2","60+",F 60+,Female,Lindsy Antonis,BE,Common Drivers,BE
"484616185836af7e36c46af2ee8fd4b5","15-29",M 15-29,Male,Medardo Endrizzi,LU,Common Drivers,LU
"48502dcf8c2fa2a50ff561525cd26c18","15-29",M 15-29,Male,Klaus Bach,VD,Common Drivers,VD
"485a76a3b8a47df18788426e756c2779","45-59",M 45-59,Male,Neville Charpie,JU,Common Drivers,JU
"485cb818a6cbc6bf294e3f11773e2b32","15-29",M 15-29,Male,Éric Boisclair,ZH,Common Drivers,ZH
"4862f27245ab84514e5a955fc5cba865","60+",F 60+,Female,Manuela Fleischer,ZH,Common Drivers,ZH
"489292abc11b03e3bcada3ad70f315a1","15-29",F 15-29,Female,Esmeraude Davignon,ZH,Common Drivers,ZH
